Evento,theta,mu,sigma,E_simulado,E_norm,P_exp_QPU,Erro_Absoluto,Erro_Relativo (%)
Monstro_1,0.9021371732886888,0.0446089072328716,0.571855129305621,0.0230133681048864,1.0,0.214,0.786,78.60000000000001
Monstro_2,0.8141859471315477,0.0299056248498542,0.6126425927026322,0.0149170748919953,0.6481917303025269,,,
Monstro_3,0.975832564411878,0.0163892867912827,0.7598110825251123,0.0121518104214848,0.5280326793584212,,,
Monstro_4,0.9909577351878492,0.0174129301426809,0.668293032325131,0.0115317155946591,0.5010876957297956,,,
Monstro_5,0.870433915704856,0.0221083661586467,0.5779788515320013,0.0111225508788224,0.4833082592747805,,,
Monstro_6,0.9020742653314856,0.0192081514007874,0.6348140235044855,0.0109995362571188,0.4779629042992312,0.21866666666666668,0.25929623763256454,54.250284969862584
Monstro_7,0.950399666608085,0.0191662887199192,0.5993065040516223,0.0109167481770552,0.47436551343987154,,,
Monstro_8,0.7872294546321543,0.0229034911519591,0.5364944292233116,0.0096731570355524,0.4203277413139066,,,
Monstro_9,0.659380782944427,0.030593617821431,0.4702660903162295,0.0094866043242849,0.41222146541299276,,,
Monstro_10,0.7343746157729465,0.0271532471710828,0.4633672982614353,0.0092398476452522,0.40149914619800103,,,
Abismo_1,0.0014041166135225,0.0379479513244276,0.2035622166860941,1.0846476615310448e-05,0.0004713120029139685,0.07266666666666667,0.07219535466375271,15317.953758315587
Abismo_2,0.0269083447345543,0.0030936107586568,0.9010917075319732,7.501042833311202e-05,0.0032594285195996645,,,
Abismo_3,0.0526706273784285,0.0099368345767154,0.684170589662884,0.0003580807320371,0.01555968385006057,,,
Abismo_4,0.1495145546738196,0.0046319776759667,0.73052423691424,0.0005059231572894,0.021983881498074936,,,
Abismo_5,0.1368061900877658,0.0087616863241616,0.4378391554898652,0.0005248171842991,0.02280488374874889,,,
Abismo_6,0.0879771561528636,0.0231820855439692,0.3066940421619911,0.0006255006465116,0.02717988273862391,0.03933333333333333,0.01215345059470942,44.71487501099034
Abismo_7,0.1943207988405546,0.0046120025799013,0.7265770479561955,0.0006511641815813,0.028295040457074126,,,
Abismo_8,0.1186730171029331,0.0761281613671411,0.0746700699720684,0.0006745961885114,0.029313231572051544,,,
Abismo_9,0.1949993057515956,0.0064871387861223,0.5616754947491344,0.0007105125133943,0.03087390381781786,,,
Abismo_10,0.0712710125771944,0.0289435895643658,0.3595509912458473,0.0007416957841729,0.03222891063978665,,,
